Node,Code,Fraction,Hydro
Chhukha,CH,1,0
Thimphu,TH,1,250
Tsirang,TS,1,670
Sarpang,SA,1,930
Zhemgang,ZH,1,0
Pemagatshel,PE,1,660
Monggar,MO,1,0
