Year,Month,Day,Hour,CH,TH,TS,SA,ZH,PE,MO
2014,6,12,20,0,0.409959,0,0,0,0,0
2014,6,12,21,0,0.3776585,0,0,0,0,0
2014,6,12,22,0,0.416739,0,0,0,0,0
2014,6,12,23,0,0.36978,0,0,0,0,0
2014,6,13,0,0,0.3454565,0,0,0,0,0
2014,6,13,1,0,0.363407,0,0,0,0,0
2014,6,13,2,0,0.394184,0,0,0,0,0
2014,6,13,3,0,0.586125,0,0,0,0,0
2014,6,13,4,0,0.672375,0,0,0,0,0
2014,6,13,5,0,0.699345,0,0,0,0,0
2014,6,13,6,0,0.75471,0,0,0,0,0
2014,6,13,7,0,0.767785,0,0,0,0,0
2014,6,13,8,0,0.72388,0,0,0,0,0
2014,6,13,9,0,0.686875,0,0,0,0,0
2014,6,13,10,0,0.640345,0,0,0,0,0
2014,6,13,11,0,0.60169,0,0,0,0,0
2014,6,13,12,0,0.578235,0,0,0,0,0
2014,6,13,13,0,0.52244,0,0,0,0,0
2014,6,13,14,0,0.4868665,0,0,0,0,0
2014,6,13,15,0,0.452073,0,0,0,0,0
2014,6,13,16,0,0.438273,0,0,0,0,0
2014,6,13,17,0,0.426936,0,0,0,0,0
2014,6,13,18,0,0.406819,0,0,0,0,0
2014,6,13,19,0,0.430493,0,0,0,0,0
2014,6,13,20,0,0.447069,0,0,0,0,0
2014,6,13,21,0,0.424541,0,0,0,0,0
2014,6,13,22,0,0.423204,0,0,0,0,0
2014,6,13,23,0,0.4191605,0,0,0,0,0
2014,6,14,0,0,0.425379,0,0,0,0,0
2014,6,14,1,0,0.377764,0,0,0,0,0
2014,6,14,2,0,0.382929,0,0,0,0,0
2014,6,14,3,0,0.459338,0,0,0,0,0
2014,6,14,4,0,0.590195,0,0,0,0,0
2014,6,14,5,0,0.64385,0,0,0,0,0
2014,6,14,6,0,0.7461,0,0,0,0,0
2014,6,14,7,0,0.758755,0,0,0,0,0
2014,6,14,8,0,0.76324,0,0,0,0,0
2014,6,14,9,0,0.756275,0,0,0,0,0
2014,6,14,10,0,0.74439,0,0,0,0,0
2014,6,14,11,0,0.629015,0,0,0,0,0
2014,6,14,12,0,0.508655,0,0,0,0,0
2014,6,14,13,0,0.488159,0,0,0,0,0
2014,6,14,14,0,0.4326495,0,0,0,0,0
2014,6,14,15,0,0.3874645,0,0,0,0,0
2014,6,14,16,0,0.3869415,0,0,0,0,0
2014,6,14,17,0,0.4334805,0,0,0,0,0
2014,6,14,18,0,0.424395,0,0,0,0,0
2014,6,14,19,0,0.44519,0,0,0,0,0
2014,6,14,20,0,0.4490255,0,0,0,0,0
2014,6,14,21,0,0.3997855,0,0,0,0,0
2014,6,14,22,0,0.4470975,0,0,0,0,0
2014,6,14,23,0,0.3927175,0,0,0,0,0
2014,6,15,0,0,0.389936,0,0,0,0,0
2014,6,15,1,0,0.4049925,0,0,0,0,0
2014,6,15,2,0,0.3426395,0,0,0,0,0
2014,6,15,3,0,0.518545,0,0,0,0,0
2014,6,15,4,0,0.658815,0,0,0,0,0
2014,6,15,5,0,0.66932,0,0,0,0,0
2014,6,15,6,0,0.743575,0,0,0,0,0
2014,6,15,7,0,0.717015,0,0,0,0,0
2014,6,15,8,0,0.63586,0,0,0,0,0
2014,6,15,9,0,0.62096,0,0,0,0,0
2014,6,15,10,0,0.56099,0,0,0,0,0
2014,6,15,11,0,0.538235,0,0,0,0,0
2014,6,15,12,0,0.5485,0,0,0,0,0
2014,6,15,13,0,0.4111545,0,0,0,0,0
2014,6,15,14,0,0.4121935,0,0,0,0,0
2014,6,15,15,0,0.3820075,0,0,0,0,0
2014,6,15,16,0,0.42643,0,0,0,0,0
2014,6,15,17,0,0.3704715,0,0,0,0,0
2014,6,15,18,0,0.4137715,0,0,0,0,0
2014,6,15,19,0,0.43119,0,0,0,0,0
2014,6,15,20,0,0.3924505,0,0,0,0,0
